Deployment_Type,Version_Control_Method,Model_Size_MB,Compression_Method,Performance_Score,Latency_ms
Edge,Git,6,Quantization,0.519344689,41
Cloud,Git,52,Pruning,0.654628522,2
Cloud,Git,65,Quantization,0.861739745,33
Edge,Mercurial,93,Quantization,0.584092854,15
Edge,Git,8,Quantization,0.505896214,97
Cloud,SVN,27,Distillation,0.383029713,5
Cloud,Mercurial,12,Pruning,0.271253874,81
Edge,Mercurial,34,Quantization,0.02552144,98
Edge,SVN,86,Pruning,0.279002016,74
Edge,Mercurial,48,Quantization,0.385162199,70
Cloud,Git,62,None,0.983710882,38
Cloud,Mercurial,33,Distillation,0.125409295,54
Cloud,Mercurial,40,Distillation,0.387822188,55
Cloud,Mercurial,4,None,0.793812791,17
Edge,SVN,49,Pruning,0.572439172,22
Edge,Git,30,Distillation,0.519455346,11
Cloud,Mercurial,62,Pruning,0.539356313,36
Edge,SVN,65,Pruning,0.896189717,71
Cloud,Git,51,None,0.016000637,11
Cloud,Git,32,Distillation,0.341601638,68
Edge,Git,13,Pruning,0.899676656,55
Cloud,Mercurial,89,None,0.621376666,7
Edge,Git,55,Pruning,0.218653887,99
Edge,SVN,73,Pruning,0.190413895,81
Edge,SVN,69,None,0.242756465,43
Edge,SVN,77,Quantization,0.772416395,6
Edge,Mercurial,3,None,0.93200935,39
Edge,Git,95,Distillation,0.38319199,75
Edge,SVN,39,None,0.011738949,82
Edge,SVN,96,Distillation,0.314400213,69
Cloud,SVN,8,Quantization,0.363109152,52
Cloud,Git,56,Pruning,0.005529149,97
Edge,SVN,40,Quantization,0.439267302,65
Cloud,Mercurial,11,Distillation,0.846067673,13
Cloud,Git,72,Quantization,0.089918983,12
Cloud,Mercurial,2,Quantization,0.068273236,57
Edge,Mercurial,25,Pruning,0.061448164,1
Edge,Mercurial,45,Quantization,0.519947146,95
Cloud,SVN,8,Pruning,0.649411318,15
Edge,Git,30,Quantization,0.44092377,32
Edge,Git,70,Distillation,0.459653577,88
Cloud,Mercurial,70,None,0.058496761,47
Cloud,Mercurial,20,Distillation,0.517180794,81
Edge,SVN,36,Distillation,0.434495956,29
Edge,Git,30,Quantization,0.416135276,51
Edge,Mercurial,72,Distillation,0.816868854,43
Edge,Mercurial,52,Pruning,0.634130655,1
Edge,Git,85,Distillation,0.37116079,99
Cloud,Mercurial,33,Pruning,0.761993734,12
Edge,Mercurial,4,Pruning,0.458980257,30
Edge,Mercurial,49,Distillation,0.432033426,59
Cloud,SVN,21,Pruning,0.443335382,86
Cloud,SVN,12,None,0.931367278,93
Edge,Mercurial,63,Pruning,0.820443168,47
Edge,SVN,7,Pruning,0.189487754,18
Edge,Mercurial,68,Distillation,0.408785539,76
Cloud,SVN,70,Quantization,0.957239943,23
Cloud,Mercurial,91,None,0.490024447,80
Edge,SVN,23,Quantization,0.674267162,74
Edge,Git,6,Pruning,0.314811287,6
Edge,Git,23,Distillation,0.703126312,9
Edge,Mercurial,25,None,0.480302643,77
Edge,SVN,17,Distillation,0.580212567,54
Cloud,Mercurial,97,Quantization,0.931728419,3
Edge,SVN,87,Pruning,0.143473108,39
Cloud,Mercurial,61,Pruning,0.278490164,43
Edge,Git,36,Quantization,0.057533778,21
Cloud,Git,4,Distillation,0.177764806,52
Edge,SVN,9,Pruning,0.437515294,23
Cloud,Git,56,None,0.375657099,73
Cloud,Git,40,Pruning,0.211531243,71
Cloud,Mercurial,46,Quantization,0.150773339,37
Edge,Git,45,Pruning,0.702127014,68
Edge,SVN,88,None,0.641361362,87
Edge,Mercurial,4,Distillation,0.797446867,72
Cloud,Git,21,None,0.291007534,76
Edge,Mercurial,19,None,0.63508902,31
Edge,Git,42,Distillation,0.519240315,77
Cloud,Git,18,Distillation,0.062136813,61
Edge,Mercurial,10,Distillation,0.601097128,4
Edge,SVN,74,Quantization,0.85650828,40
Cloud,SVN,91,Pruning,0.66678676,22
Cloud,Git,88,None,0.61422216,39
Cloud,Git,37,None,0.507477076,80
Edge,Git,18,None,0.986651969,37
Cloud,Mercurial,11,Pruning,0.542714475,44
Edge,Mercurial,10,Distillation,0.656573951,7
Cloud,Mercurial,95,Pruning,0.306486369,3
Cloud,Mercurial,94,None,0.649651935,76
Edge,Mercurial,50,Quantization,0.760998362,47
Edge,SVN,54,None,0.023354418,94
Cloud,Mercurial,73,Quantization,0.135885896,75
Edge,Git,79,None,0.74578674,18
Edge,SVN,9,Pruning,0.717098543,7
Edge,Git,49,Pruning,0.917109631,37
Edge,Git,14,None,0.372364886,34
Cloud,SVN,76,Distillation,0.498112253,74
Cloud,SVN,87,None,0.822637285,76
Edge,Git,55,None,0.212314756,32
Edge,SVN,4,Quantization,0.298888339,5
Cloud,SVN,22,Pruning,0.685416191,17
Edge,Git,58,Distillation,0.393482241,72
Edge,Git,77,Distillation,0.802247288,34
Edge,Mercurial,51,Quantization,0.690638026,48
Cloud,Git,85,None,0.034172889,66
Edge,SVN,9,None,0.929892642,45
Edge,Git,5,None,0.352557909,18
Cloud,SVN,29,Quantization,0.987042295,56
Cloud,Mercurial,24,Pruning,0.44990283,72
Cloud,Git,98,Distillation,0.612799062,50
Edge,SVN,38,Distillation,0.415724226,25
Cloud,Mercurial,12,None,0.174034107,43
Edge,SVN,89,Pruning,0.93103726,91
Edge,Mercurial,4,Distillation,0.926753979,41
Cloud,Mercurial,6,None,0.049365087,66
Cloud,Git,66,Pruning,0.366735783,21
Edge,Git,23,Distillation,0.417133941,45
Cloud,Mercurial,73,Pruning,0.167649633,74
Edge,Mercurial,30,None,0.904287583,52
Cloud,Git,99,None,0.704293721,47
Edge,Git,65,Pruning,0.942365074,83
Cloud,Mercurial,61,Quantization,0.191541318,26
Edge,Git,55,Quantization,0.892835443,66
Edge,Mercurial,19,Pruning,0.859178449,83
Cloud,Git,32,Quantization,0.067654183,2
Cloud,Git,20,Pruning,0.173468292,40
Edge,Mercurial,28,None,0.363177391,39
Edge,Git,58,None,0.97545973,69
Cloud,Git,52,Quantization,0.33819244,10
Cloud,Mercurial,47,Pruning,0.411084165,53
Cloud,Mercurial,36,None,0.099274882,11
Cloud,SVN,58,Distillation,0.998877041,16
Edge,Git,57,None,0.272584194,68
Edge,Git,63,Quantization,0.196994911,78
Edge,SVN,5,Quantization,0.832775968,1
Edge,Mercurial,26,Pruning,0.410388138,97
Cloud,Mercurial,66,None,0.64433019,19
Edge,Mercurial,51,Pruning,0.82819839,83
Edge,SVN,54,Distillation,0.516837297,9
Cloud,Git,15,Distillation,0.692826799,90
Cloud,Mercurial,30,Distillation,0.524834135,81
Edge,Mercurial,97,None,0.394506728,80
Cloud,Git,50,Pruning,0.276703435,16
Edge,Mercurial,31,Distillation,0.353670399,89
Edge,Mercurial,4,Pruning,0.590678374,17
Edge,SVN,38,Distillation,0.890023014,31
Cloud,SVN,77,Pruning,0.88825502,57
Edge,SVN,76,Quantization,0.53961232,4
Cloud,Git,40,None,0.10765196,6
Edge,Git,99,Quantization,0.385390955,2
Cloud,SVN,90,Pruning,0.938927042,13
Edge,Mercurial,76,None,0.181195474,77
Edge,SVN,11,Distillation,0.465851257,21
Cloud,Mercurial,75,Quantization,0.895940801,66
Cloud,Mercurial,99,Distillation,0.802303374,12
Edge,SVN,19,Quantization,0.1520794,70
Edge,SVN,40,Distillation,0.313688136,28
Cloud,Mercurial,51,Pruning,0.673509299,88
Cloud,Mercurial,82,Distillation,0.013960484,69
Cloud,Git,40,Distillation,0.840447292,52
Cloud,Mercurial,44,Distillation,0.760530668,49
Edge,SVN,83,Quantization,0.35429922,64
Edge,Git,2,Distillation,0.644054292,79
Cloud,SVN,4,Pruning,0.974798895,83
Edge,Git,51,Quantization,0.864270371,26
Edge,SVN,38,Distillation,0.066892111,71
Edge,SVN,39,Quantization,0.797700943,50
Edge,Mercurial,35,Pruning,0.667249542,41
Edge,SVN,43,None,0.089398429,22
Cloud,Mercurial,88,None,0.955930205,10
Cloud,Mercurial,8,Pruning,0.468797963,49
Cloud,Git,14,None,0.598347403,79
Edge,Mercurial,72,Quantization,0.578156706,85
Edge,Mercurial,51,Pruning,0.90093184,22
Edge,SVN,69,Distillation,0.193877598,1
Edge,SVN,78,Pruning,0.6029542,24
Cloud,SVN,7,None,0.606644004,59
Edge,SVN,28,Quantization,0.643952635,63
Edge,SVN,60,Quantization,0.331176421,22
Edge,Git,60,Distillation,0.649202097,21
Cloud,SVN,66,Quantization,0.608644608,25
Edge,Mercurial,44,Quantization,0.456069519,40
Cloud,Mercurial,67,None,0.453200391,18
Edge,Mercurial,92,Quantization,0.243675358,59
Edge,Git,73,None,0.904461415,10
Cloud,Git,4,None,0.388990704,90
Edge,SVN,43,None,0.225023486,71
Cloud,Git,11,None,0.909800646,8
Cloud,SVN,18,None,0.427210856,97
Edge,SVN,28,Distillation,0.700276721,71
Cloud,Mercurial,66,Distillation,0.416822975,46
Edge,Git,48,Quantization,0.57090168,50
Edge,SVN,85,Distillation,0.292588561,56
Edge,Mercurial,7,None,0.202531161,30
Cloud,SVN,57,Distillation,0.290527826,93
Cloud,Mercurial,99,Pruning,0.463533838,57
Cloud,SVN,4,Distillation,0.01461281,73
Cloud,SVN,97,None,0.350560028,31
Cloud,Mercurial,22,Quantization,0.513428817,70
Edge,Mercurial,17,Pruning,0.39093337,28
Cloud,SVN,64,Distillation,0.59275975,45
Cloud,SVN,88,Quantization,0.215555561,82
Cloud,Mercurial,38,Distillation,0.561769851,56
Edge,SVN,74,Distillation,0.661544264,2
Edge,SVN,81,None,0.406483296,90
Edge,SVN,92,Quantization,0.827002784,59
Edge,Mercurial,90,Pruning,0.787774346,61
Edge,SVN,66,None,0.636753515,91
Edge,SVN,94,Quantization,0.598224877,2
Cloud,Git,32,Quantization,0.032312676,77
Cloud,SVN,24,Distillation,0.191679118,87
Edge,Git,83,Quantization,0.18296347,7
Edge,SVN,78,Quantization,0.899664778,32
Cloud,Mercurial,26,Quantization,0.147653828,51
Edge,Git,22,Quantization,0.149377668,59
Edge,Git,32,Distillation,0.632894117,38
Cloud,Mercurial,28,Pruning,0.769649878,99
Cloud,SVN,77,Pruning,0.24410549,58
Cloud,SVN,59,Distillation,0.237647289,62
Edge,SVN,25,Pruning,0.500168563,61
Cloud,Mercurial,43,None,0.667493689,19
Edge,Git,33,Distillation,0.14180415,99
Cloud,SVN,7,Quantization,0.718946838,68
Cloud,Mercurial,67,Quantization,0.079253401,80
Cloud,Git,35,Pruning,0.960977908,21
Cloud,Mercurial,69,Distillation,0.111990629,98
Cloud,SVN,82,Distillation,0.474542738,43
Cloud,Mercurial,84,None,0.062785381,80
Edge,SVN,89,Pruning,0.234298761,3
Cloud,Git,62,Quantization,0.591573846,37
Edge,Git,78,Quantization,0.201845345,53
Edge,Mercurial,57,None,0.464367092,31
Cloud,SVN,59,Distillation,0.058160838,2
Cloud,SVN,2,None,0.930575822,41
Cloud,Mercurial,35,None,0.224014964,87
Cloud,Git,60,None,0.227092049,39
Cloud,SVN,42,Pruning,0.430583144,92
Cloud,SVN,11,None,0.29887141,52
Cloud,SVN,42,None,0.575815305,69
Edge,SVN,94,Pruning,0.487055697,27
Edge,SVN,63,Quantization,0.260444415,9
Edge,SVN,91,Pruning,0.517559242,88
Edge,Mercurial,41,Pruning,0.728448468,31
Edge,Git,18,Distillation,0.33439637,42
Cloud,SVN,58,None,0.408457638,82
Edge,SVN,77,Quantization,0.69580452,5
Cloud,Mercurial,86,Quantization,0.878457063,79
Edge,SVN,55,Pruning,0.236774075,72
Cloud,Git,67,Pruning,0.036201014,41
Edge,Mercurial,9,Quantization,0.745440549,26
Edge,Mercurial,57,Pruning,0.115054596,95
Edge,Git,84,Quantization,0.351844846,69
Cloud,Git,54,None,0.692817041,71
Edge,Git,65,None,0.401605406,20
Cloud,Git,16,Quantization,0.125532101,56
Edge,SVN,12,Distillation,0.219355107,79
Edge,Mercurial,45,Pruning,0.862192773,9
Edge,SVN,4,Distillation,0.526732324,5
Edge,Mercurial,86,Quantization,0.295571437,7
Cloud,Git,41,None,0.20315255,28
Cloud,SVN,96,None,0.287424664,76
Edge,Git,52,Distillation,0.949553095,5
Cloud,SVN,14,Quantization,0.121145443,11
Edge,Git,78,Pruning,0.426878875,4
Edge,Git,39,Pruning,0.395001043,19
Edge,Mercurial,5,Distillation,0.896636499,47
Cloud,Git,25,Distillation,0.144572297,73
Cloud,Mercurial,7,None,0.967843137,59
Edge,SVN,26,None,0.853750765,73
Cloud,SVN,26,Distillation,0.617996461,40
Cloud,Mercurial,11,Pruning,0.058462903,90
Cloud,Mercurial,70,None,0.754388175,4
Edge,SVN,44,Pruning,0.78019324,42
Cloud,Git,21,Quantization,0.923812974,11
Edge,SVN,70,Quantization,0.004620217,58
Edge,Git,78,Quantization,0.23017818,32
Cloud,SVN,89,Pruning,0.335357013,33
Cloud,Mercurial,38,Distillation,0.400582326,39
Cloud,SVN,96,Pruning,0.859702447,84
Cloud,Git,14,Distillation,0.264284503,5
Edge,Mercurial,87,Pruning,0.890638584,52
Cloud,Mercurial,33,Pruning,0.386113528,39
Cloud,Git,41,Distillation,0.989237457,89
Edge,SVN,4,Pruning,0.697765497,60
Cloud,Git,10,Distillation,0.748950163,98
Edge,Git,84,Quantization,0.027297799,88
Cloud,Mercurial,36,None,0.276153869,96
Edge,Git,36,Distillation,0.325054983,75
Cloud,Mercurial,84,Distillation,0.574583578,26
Cloud,Git,71,Pruning,0.204007843,45
Cloud,SVN,67,Quantization,0.01889335,7
Cloud,Mercurial,29,None,0.69880083,19
Edge,SVN,35,Distillation,0.839156005,4
Edge,Mercurial,61,Quantization,0.920990371,93
Cloud,Mercurial,29,Distillation,0.052915544,78
Edge,Mercurial,42,Pruning,0.517901245,77
Cloud,Mercurial,56,Pruning,0.360293208,62
Cloud,Mercurial,36,Pruning,0.578779157,30
Edge,Git,95,Quantization,0.243829928,1
Cloud,Mercurial,72,Quantization,0.167135767,22
Cloud,SVN,29,Pruning,0.187880691,96
Cloud,Mercurial,67,Pruning,0.720392717,57
Edge,SVN,80,Quantization,0.29095736,92
Cloud,SVN,4,Quantization,0.461408997,62
Edge,Mercurial,77,Quantization,0.403478007,66
Cloud,Mercurial,5,Pruning,0.36964211,60
Edge,Mercurial,86,Pruning,0.283124271,9
Edge,Git,99,Distillation,0.851978722,1
Cloud,Mercurial,53,Pruning,0.859836709,98
Edge,SVN,77,Pruning,0.946658552,51
Cloud,SVN,87,Quantization,0.198220203,64
Cloud,SVN,67,None,0.011513646,8
Edge,Git,88,Distillation,0.905021796,32
Cloud,Git,5,Quantization,0.334794937,11
Edge,Git,26,None,0.105312007,60
Cloud,SVN,18,None,0.864474128,73
Edge,SVN,83,Distillation,0.056938484,18
Edge,Git,8,None,0.604767986,4
Edge,Mercurial,13,None,0.469182105,91
Edge,Git,63,Pruning,0.713856754,74
Cloud,SVN,95,Pruning,0.830860801,63
Cloud,Mercurial,57,Quantization,0.51263587,87
Cloud,Mercurial,80,Quantization,0.990848822,60
Cloud,SVN,25,Distillation,0.364478571,93
Edge,SVN,5,None,0.755709191,37
Cloud,Git,10,Pruning,0.422074451,96
Edge,Git,66,Quantization,0.732186978,52
Cloud,Mercurial,41,None,0.67503231,1
Cloud,Git,89,Distillation,0.895531533,30
Edge,Git,1,Pruning,0.63653746,78
Edge,Git,36,Quantization,0.454680506,38
Edge,Git,12,None,0.943945711,51
Cloud,Git,57,Pruning,0.138879325,32
Edge,SVN,92,None,0.093484972,44
Cloud,Git,27,Pruning,0.252178816,83
Cloud,Git,90,None,0.444259219,50
Edge,Mercurial,97,None,0.024938589,21
Edge,Git,17,Quantization,0.700519493,8
Edge,Git,57,Distillation,0.727308485,65
Edge,SVN,48,Pruning,0.704041514,11
Cloud,Mercurial,60,Distillation,0.202035555,65
Cloud,SVN,1,Quantization,0.309722017,54
Edge,Git,60,Distillation,0.038149084,80
Cloud,Git,32,None,0.76325427,70
Edge,Mercurial,7,Pruning,0.492568874,41
Cloud,Git,2,None,0.208190069,86
Cloud,SVN,52,Distillation,0.808136662,73
Edge,Mercurial,14,Pruning,0.89275374,93
Cloud,SVN,39,Quantization,0.836832071,33
Edge,Mercurial,9,Pruning,0.936841664,75
Cloud,Mercurial,18,Pruning,0.852242881,15
Cloud,Mercurial,18,Distillation,0.89801872,20
Edge,Git,45,Distillation,0.101983212,97
Cloud,Git,19,Quantization,0.714825577,69
Edge,Git,80,Pruning,0.888603278,88
Cloud,Git,7,Distillation,0.812382066,17
Cloud,Mercurial,44,Distillation,0.760261817,59
Cloud,Mercurial,47,Distillation,0.112719676,89
Edge,Mercurial,8,Pruning,0.954734917,25
Cloud,Git,37,Quantization,0.177416179,51
Edge,Mercurial,16,Pruning,0.069708049,1
Cloud,Mercurial,76,Distillation,0.479216931,10
Edge,SVN,47,Distillation,0.029456067,3
Edge,Mercurial,45,Pruning,0.438109759,75
Cloud,Git,97,Pruning,0.246876846,83
Cloud,SVN,46,None,0.596862049,80
Edge,Git,30,Distillation,0.902134311,29
Edge,Git,7,Distillation,0.735991643,53
Edge,Mercurial,57,Quantization,0.915477706,38
Cloud,Mercurial,1,Pruning,0.807203317,85
Cloud,Mercurial,38,Pruning,0.642466541,24
Edge,Mercurial,35,Quantization,0.064917721,73
Edge,Git,76,Distillation,0.653791693,19
Edge,Mercurial,34,Quantization,0.124825843,48
Cloud,SVN,35,Quantization,0.584525222,94
Cloud,Mercurial,94,Distillation,0.41611127,29
Edge,SVN,5,None,0.384221601,90
Cloud,Git,73,Quantization,0.2719144,13
Cloud,Mercurial,3,Quantization,0.918908137,95
Cloud,Git,55,Distillation,0.493529382,36
Cloud,Mercurial,30,Distillation,0.008631067,65
Cloud,Mercurial,53,None,0.11030853,88
Edge,Git,18,None,0.677763694,37
Cloud,SVN,20,Distillation,0.246473647,56
Edge,Mercurial,83,Pruning,0.391832403,31
Cloud,Git,23,Pruning,0.968867815,97
Cloud,SVN,75,Quantization,0.491799551,91
Cloud,Git,9,None,0.755229136,99
Cloud,Mercurial,34,None,0.204732837,47
Cloud,Mercurial,33,Quantization,0.500883068,63
Cloud,SVN,55,Quantization,0.525426717,69
Edge,Git,53,None,0.819768206,93
Cloud,Mercurial,3,Quantization,0.760277733,99
Cloud,Git,31,None,0.789200432,11
Edge,Git,80,Quantization,0.228244118,23
Edge,Mercurial,76,Distillation,0.218958501,39
Edge,Mercurial,4,Quantization,0.763780142,16
Edge,SVN,37,Pruning,0.081623487,54
Cloud,Mercurial,69,Pruning,0.069833753,13
Edge,SVN,48,None,0.802623489,79
Edge,SVN,7,Quantization,0.423059405,2
Cloud,Mercurial,34,Distillation,0.817206426,39
Edge,Git,47,None,0.022289392,12
Cloud,Mercurial,18,Distillation,0.515175021,78
Edge,Git,27,Distillation,0.32023801,97
Cloud,Git,47,Pruning,0.143244068,29
Edge,Mercurial,48,Quantization,0.218701122,4
Edge,Git,47,Quantization,0.103529727,18
Cloud,Mercurial,36,Distillation,0.389317508,18
Cloud,SVN,71,None,0.289137467,24
Edge,SVN,32,Pruning,0.690778339,68
Edge,Mercurial,79,Pruning,0.859251398,98
Cloud,Git,3,Quantization,0.871078938,27
Cloud,Mercurial,90,Distillation,0.303057478,68
Cloud,Mercurial,10,Quantization,0.096778736,63
Cloud,SVN,42,Distillation,0.855985749,20
Cloud,Git,38,Quantization,0.382812655,12
Edge,SVN,33,Pruning,0.978724282,49
Cloud,Mercurial,2,None,0.621088418,3
Cloud,Git,79,Distillation,0.69552742,84
Edge,SVN,33,None,0.39699282,36
Edge,Mercurial,75,Distillation,0.262052985,71
Cloud,SVN,84,Distillation,0.99282618,34
Cloud,SVN,92,None,0.318431194,25
Cloud,SVN,38,Quantization,0.73081715,73
Cloud,SVN,55,None,0.777966051,50
Cloud,Mercurial,27,None,0.095404517,36
Cloud,SVN,87,None,0.441359274,41
Edge,SVN,95,Distillation,0.119531356,53
Edge,SVN,63,None,0.396547443,85
Edge,Git,17,Pruning,0.248015573,96
Cloud,SVN,29,None,0.632851918,38
Edge,Mercurial,34,Quantization,0.204911524,24
Edge,Mercurial,92,Distillation,0.630976012,75
Edge,SVN,44,Quantization,0.312580052,29
Cloud,Git,95,Distillation,0.054486562,78
Edge,SVN,71,Pruning,0.970029777,83
Cloud,Git,41,None,0.912045296,81
Edge,Git,66,None,0.826167281,50
Cloud,SVN,78,None,0.196460001,5
Edge,SVN,24,Distillation,0.264531744,12
Cloud,SVN,69,Distillation,0.499295277,71
Cloud,Git,12,Quantization,0.427366066,15
Cloud,Git,83,None,0.62436119,61
Edge,Mercurial,11,Distillation,0.154803963,65
Cloud,SVN,76,Distillation,0.65149006,82
Edge,Git,90,Distillation,0.668101213,46
Edge,Git,86,Quantization,0.548765243,43
Cloud,Mercurial,35,Distillation,0.822306168,44
Cloud,Git,80,Quantization,0.038103614,82
Cloud,Git,70,None,0.747956782,57
Cloud,SVN,4,Distillation,0.255980036,47
Edge,SVN,34,None,0.050816601,10
Cloud,Mercurial,17,Quantization,0.966271202,89
Edge,Mercurial,83,Distillation,0.8997657,45
Cloud,Git,48,Pruning,0.616018075,8
Cloud,Git,77,Distillation,0.869328687,14
Edge,Git,44,Quantization,0.799424469,9
Edge,Mercurial,44,Quantization,0.22691832,84
Cloud,Mercurial,58,Pruning,0.558671239,10
Edge,Git,81,Quantization,0.489707347,93
Cloud,Mercurial,17,Distillation,0.163710694,14
Edge,Git,28,None,0.660617925,83
Edge,SVN,9,Distillation,0.876159086,3
Edge,SVN,7,None,0.40054968,25
Cloud,Git,97,Pruning,0.667774899,57
Edge,SVN,50,Pruning,0.168747808,10
Edge,Mercurial,66,Pruning,0.528552592,51
Edge,Mercurial,82,None,0.790516552,2
Edge,SVN,43,Pruning,0.13692492,42
Edge,SVN,48,Distillation,0.14011454,24
Cloud,SVN,36,Pruning,0.427134008,45
Edge,Git,69,Pruning,0.306437545,24
Edge,Git,78,Quantization,0.874574373,84
Cloud,Git,63,Pruning,0.366940369,2
Cloud,Git,71,Quantization,0.702407618,38
Cloud,Mercurial,45,Pruning,0.058340026,84
Edge,SVN,67,Distillation,0.470165686,30
Cloud,Mercurial,37,Quantization,0.121044152,14
Cloud,SVN,11,Distillation,0.859686071,15
Edge,Mercurial,16,Pruning,0.129377192,51
Cloud,Mercurial,49,Quantization,0.976833079,66
Edge,Mercurial,44,Distillation,0.685613402,4
Cloud,SVN,67,Distillation,0.555858321,65
Edge,SVN,50,None,0.03592615,69
Edge,Mercurial,26,None,0.752795017,27
Cloud,Git,91,None,0.693453273,41
Edge,Mercurial,51,None,0.919082551,76
Edge,Mercurial,11,None,0.934533259,87
Cloud,SVN,86,None,0.024606191,55
Cloud,SVN,57,Pruning,0.606285582,56
Edge,SVN,75,Distillation,0.3359307,36
Cloud,SVN,19,Pruning,0.826318203,6
Cloud,SVN,88,Quantization,0.816542366,87
Edge,SVN,15,Quantization,0.952196974,82
Cloud,SVN,58,Distillation,0.344782619,68
Cloud,Mercurial,76,Distillation,0.283296015,5
Cloud,Git,16,Quantization,0.17619012,3
Edge,Git,92,Quantization,0.27541067,73
Cloud,SVN,25,Quantization,0.30034903,43
Cloud,Git,14,Distillation,0.996483762,35
Edge,Git,31,Pruning,0.800909308,50
Cloud,SVN,56,None,0.420102017,13
Cloud,Mercurial,47,Pruning,0.689305779,16
Cloud,SVN,72,Distillation,0.63014277,59
Edge,SVN,68,Quantization,0.399640809,47
Edge,Git,69,Pruning,0.877359028,78
Edge,SVN,40,Pruning,0.838987852,11
Cloud,Mercurial,96,Pruning,0.34219198,92
Cloud,Mercurial,37,Distillation,0.323887002,80
Edge,SVN,62,None,0.811521461,47
Cloud,Mercurial,69,Quantization,0.463240395,94
Edge,SVN,67,Quantization,0.16608294,72
Cloud,Git,38,Pruning,0.410734672,80
Edge,Git,27,Quantization,0.246352653,41
Cloud,SVN,71,None,0.11578318,7
Edge,Mercurial,98,None,0.001902894,41
Cloud,SVN,98,Quantization,0.750429613,94
Edge,Git,60,Distillation,0.472615006,33
Edge,Git,59,Distillation,0.379179696,40
Cloud,Mercurial,8,Quantization,0.630186194,91
Cloud,Git,63,Pruning,0.582040484,48
Cloud,Mercurial,47,Quantization,0.489355491,96
Edge,Mercurial,81,Distillation,0.200884426,97
Edge,Mercurial,29,None,0.323094061,63
Edge,Git,88,None,0.589555218,14
Edge,Mercurial,95,Pruning,0.709733756,53
Cloud,Git,54,None,0.38810117,90
Cloud,Git,75,Quantization,0.513346445,26
Cloud,Mercurial,27,Pruning,0.761321644,48
Edge,Mercurial,90,Quantization,0.376603013,11
Cloud,SVN,13,Quantization,0.450715347,77
Cloud,Git,56,Quantization,0.644244711,94
Cloud,Mercurial,86,None,0.184904926,14
Edge,Mercurial,64,Distillation,0.405769519,15
Edge,SVN,30,Quantization,0.29118332,88
Edge,SVN,30,Pruning,0.315211814,2
Edge,SVN,87,Pruning,0.181946239,4
Edge,Mercurial,59,Pruning,0.343780093,10
Edge,SVN,25,Quantization,0.138639778,81
Cloud,Mercurial,78,Quantization,0.95804644,64
Edge,Git,27,None,0.785262866,2
Edge,Mercurial,8,None,0.718079277,71
Cloud,Git,98,Quantization,0.651350146,87
Cloud,Git,77,None,0.720899568,95
Cloud,Git,62,Pruning,0.98279152,96
Cloud,Git,75,Pruning,0.464477778,2
Edge,Git,11,Distillation,0.348019834,81
Cloud,SVN,72,Pruning,0.408956268,65
Cloud,Mercurial,2,Pruning,0.261617634,63
Edge,SVN,30,Pruning,0.142424633,31
Cloud,Git,97,Quantization,0.342256777,88
Edge,SVN,21,Distillation,0.921958474,61
Cloud,SVN,5,Pruning,0.126322668,97
Cloud,Mercurial,87,Distillation,0.33661961,72
Cloud,SVN,32,Distillation,0.214402128,86
Edge,Mercurial,88,Distillation,0.12270217,21
Cloud,Mercurial,4,None,0.81146104,59
Edge,Mercurial,77,None,0.317527289,26
Edge,Mercurial,66,Quantization,0.520554949,55
Cloud,Git,70,Pruning,0.236982472,65
Cloud,Git,40,Distillation,0.586351859,86
Edge,SVN,40,Quantization,0.738813751,80
Cloud,SVN,31,Quantization,0.0352238,48
Edge,SVN,26,Pruning,0.885289969,60
Edge,Mercurial,14,Pruning,0.094079525,96
Edge,Mercurial,39,Pruning,0.27455769,68
Edge,Mercurial,56,None,0.183007163,67
Cloud,SVN,8,None,0.264036564,8
Cloud,Git,82,Quantization,0.373302178,64
Edge,Git,44,Distillation,0.363046209,71
Edge,Mercurial,58,None,0.023110785,58
Cloud,SVN,23,Distillation,0.470104759,78
Edge,SVN,90,Quantization,0.6236878,58
Edge,Mercurial,87,None,0.686390736,16
Edge,Mercurial,17,Quantization,0.948486,1
Edge,SVN,12,Pruning,0.28570308,61
Cloud,Git,86,None,0.137265976,42
Edge,Mercurial,96,Quantization,0.081260334,47
Edge,Git,13,None,0.252814364,13
Cloud,Mercurial,11,Quantization,0.029728957,30
Edge,Mercurial,92,Pruning,0.346163026,54
Cloud,Mercurial,29,Distillation,0.071917406,93
Cloud,Mercurial,99,Pruning,0.080782216,62
Edge,Git,32,Distillation,0.507813092,12
Cloud,Git,49,None,0.613436743,44
Edge,SVN,80,Pruning,0.382473856,23
Cloud,SVN,83,Quantization,0.128383508,55
Cloud,Git,79,Pruning,0.73957802,72
Cloud,SVN,88,None,0.601040251,96
Edge,SVN,72,Pruning,0.17756278,38
Edge,SVN,90,Distillation,0.381461049,44
Cloud,Mercurial,14,None,0.469302248,54
Cloud,Git,78,Distillation,0.141400862,92
Cloud,SVN,54,Quantization,0.76357967,65
Cloud,Git,10,Quantization,0.701088843,88
Cloud,SVN,53,None,0.580044014,32
Cloud,Git,23,None,0.405275676,37
Cloud,Git,88,Quantization,0.600861343,92
Edge,Git,71,None,0.009116602,66
Edge,Mercurial,6,Pruning,0.479450036,82
Cloud,Git,50,Quantization,0.765320952,36
